nv,mu,phi_c,eta_0,n
4,0.0081648297,0.8568171730915314,3.735992694446046e-07,-1.199290773087973
4,0.0408078293,0.8643011954424504,3.9712123209700335e-07,-1.1863127559045332
4,0.0815139146,0.8696599124363785,3.801869776800692e-07,-1.2059630962551322
4,0.3922322703,0.879427132969712,8.370779689123305e-07,-0.9353573839686649
4,0.7071067812,0.8665338639294955,6.460324278510562e-07,-1.0253344698504778
7,0.0086775676,0.8514310386108709,4.938651041735715e-07,-1.0871462586834924
7,0.0433749851,0.8538669357168649,4.4179633379667613e-07,-1.1029554209686794
7,0.0866697855,0.8566520010537838,2.933626866658279e-07,-1.2421014519192604
7,0.4210787085,0.8382907615983785,5.575967643741554e-07,-1.0571748188646135
7,0.7770942489,0.8238358865029729,7.813590092684588e-07,-0.9567423569031167
11,0.0091169801,0.8489114676982581,4.855215979514218e-07,-1.087091685662076
11,0.0455756702,0.8512506091442343,5.150338936104176e-07,-1.0430322338152418
11,0.0910937232,0.853377535753021,3.3193204338409713e-07,-1.17294235701352
11,0.4465288487,0.8379413332401621,3.5709716201103564e-07,-1.1801237146774828
11,0.8433074289,0.8226480339188889,8.201035887093812e-07,-0.9387472515854127
21,0.0095274132,0.848664189746096,4.932180591597234e-07,-1.085653491212557
21,0.047631792,0.8486268805471892,5.643861382251311e-07,-1.004905016482248
21,0.0952306443,0.8486192232378797,3.9116547041527543e-07,-1.0998852765900782
21,0.4709714342,0.841120021607844,2.0887599884747612e-07,-1.3456224958695073
21,0.9116137923,0.8339772992194835,2.283216602140115e-07,-1.363230313638803
31,0.0096785123,0.8488442517267027,5.036175774575908e-07,-1.0745573863104316
31,0.0483888886,0.8486304509143244,6.00029535900072e-07,-0.9855548503734535
31,0.0967548316,0.84609732099185,6.998694926619251e-07,-0.8780065726615607
31,0.4801454061,0.8431279256715317,1.7835992168075622e-07,-1.364793047761584
31,0.9386218028,0.8438618787202701,1.0324005628683497e-07,-1.6625647131713994
