nv,mu,phi_j_min,phi_j_max
4,0.008164829729915748,0.8399123523711738,0.8569748523657865
4,0.04080782932503446,0.845422918687903,0.862782293682831
4,0.08151391459392208,0.8510669906923701,0.8703636215452943
4,0.3922322702763648,0.8254600493579214,0.8852725493485678
4,0.7071067811865476,0.8125449196803451,0.8793710915451972
7,0.008677567623904503,0.8379883975816245,0.852173944451559
7,0.043374985057394705,0.8395605570296849,0.8543720804628656
7,0.08666978548021526,0.8383002102416144,0.8572728664865561
7,0.421078708453035,0.7987858431736116,0.8390299837922106
7,0.7770942488589635,0.7711753510447472,0.8266909760375333
11,0.0091169801104741,0.8375490341999776,0.8512502060698706
11,0.045575670234116586,0.8370435888941767,0.8534747412333716
11,0.09109372317530223,0.8375424501269256,0.8544487001215741
11,0.4465288487115895,0.7995028985711449,0.8386943048152316
11,0.8433074288781546,0.7682871064659927,0.8246269502095342
21,0.009527413188282959,0.8375341931701547,0.8514482556653138
21,0.04763179197926146,0.8349821223285002,0.8519039973242295
21,0.09523064426095479,0.8338908917604992,0.8503684308178654
21,0.47097143422939225,0.8010280741722308,0.8391003397921437
21,0.911613792276186,0.7742025659621582,0.8295092065815696
31,0.009678512324846988,0.8356022304631917,0.8510709804589193
31,0.048388888601853135,0.8357966236300717,0.8506247486257857
31,0.09675483159040456,0.8332729857307324,0.8498735716631822
31,0.48014540606548006,0.8033778582606605,0.8421844988803228
31,0.9386218028254322,0.7809924101676119,0.8347424101622898
